# version = 29.1.1, Request ID = WFC3UVIS.sp.1486051
# HAT-P-41, Vmag = 11.4, exptime = 190s, Teff = 6500K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
6386.0000,0,2.5745,97.077,58950,59050
6400.0000,0,2.5745,97.077,58208,58308
6414.0000,0,2.5745,97.077,57479,57578
6428.0000,0,2.5745,97.077,57367,57467
6442.0000,0,2.5745,97.077,56765,56864
6456.0000,0,2.5745,97.077,56190,56290
6470.0000,0,2.5745,97.077,55822,55922
6484.0000,0,2.5745,97.077,55041,55141
6498.0000,0,2.5745,97.077,54717,54817
6512.0000,0,2.5745,97.077,54726,54826
6526.0000,0,2.5745,97.077,54192,54292
6540.0000,0,2.5745,97.077,52365,52465
6554.0000,0,2.5745,97.077,49084,49184
6568.0000,0,2.5745,97.077,44560,44659
6582.0000,0,2.5745,97.077,48168,48267
6596.0000,0,2.5745,97.077,51710,51810
6610.0000,0,2.5745,97.077,52096,52196
6624.0000,0,2.5745,97.077,51890,51990
6638.0000,0,2.5745,97.077,51521,51620
6652.0000,0,2.5745,97.077,51097,51197
6666.0000,0,2.5745,97.077,50509,50608
6680.0000,0,2.5745,97.077,50282,50382
6694.0000,0,2.5745,97.077,50036,50136
6708.0000,0,2.5745,97.077,49405,49505
6722.0000,0,2.5745,97.077,49102,49202
6736.0000,0,2.5745,97.077,48682,48782
6750.0000,0,2.5745,97.077,48090,48190
6764.0000,0,2.5745,97.077,47805,47905
6778.0000,0,2.5745,97.077,47479,47579
6792.0000,0,2.5745,97.077,47025,47124
6806.0000,0,2.5745,97.077,46582,46681
6820.0000,0,2.5745,97.077,46216,46315
6834.0000,0,2.5745,97.077,45823,45923
6848.0000,0,2.5745,97.077,45227,45327
6862.0000,0,2.5745,97.077,44989,45089
6876.0000,0,2.5745,97.077,44755,44854
6890.0000,0,2.5745,97.077,44414,44513
6904.0000,0,2.5745,97.077,44005,44104
6918.0000,0,2.5745,97.077,43633,43733
6932.0000,0,2.5745,97.077,43257,43356
6946.0000,0,2.5745,97.077,42909,43009
6960.0000,0,2.5745,97.077,42574,42673
6974.0000,0,2.5745,97.077,42240,42340
6988.0000,0,2.5745,97.077,41869,41969
7002.0000,0,2.5745,97.077,41118,41218
7016.0000,0,2.5745,97.077,40594,40694
7030.0000,0,2.5745,97.077,40522,40622
7044.0000,0,2.5745,97.077,40290,40389
7058.0000,0,2.5745,97.077,39909,40009
