# version = 29.1.1, Request ID = WFC3UVIS.sp.1486058
# HAT-P-23, Vmag = 11.94, exptime = 237s, Teff = 6000K
wavelength,readnoise,dark_counts,sky_counts,target_counts,total_counts
8094.0000,0,3.2113,121.09,13203,13327
8108.0000,0,3.2113,121.09,13098,13222
8122.0000,0,3.2113,121.09,12958,13082
8136.0000,0,3.2113,121.09,12785,12910
8150.0000,0,3.2113,121.09,12574,12698
8164.0000,0,3.2113,121.09,12387,12512
8178.0000,0,3.2113,121.09,12085,12210
8192.0000,0,3.2113,121.09,11761,11885
8206.0000,0,3.2113,121.09,11611,11736
8220.0000,0,3.2113,121.09,11461,11585
8234.0000,0,3.2113,121.09,11315,11439
8248.0000,0,3.2113,121.09,11219,11344
8262.0000,0,3.2113,121.09,11132,11256
8276.0000,0,3.2113,121.09,11009,11133
8290.0000,0,3.2113,121.09,10822,10946
8304.0000,0,3.2113,121.09,10575,10699
8318.0000,0,3.2113,121.09,10367,10491
8332.0000,0,3.2113,121.09,10204,10328
8346.0000,0,3.2113,121.09,10105,10229
8360.0000,0,3.2113,121.09,10003,10128
8374.0000,0,3.2113,121.09,9854.9,9979.2
8388.0000,0,3.2113,121.09,9639.5,9763.8
8402.0000,0,3.2113,121.09,9546.2,9670.5
8416.0000,0,3.2113,121.09,9423.1,9547.4
8430.0000,0,3.2113,121.09,9218.8,9343.1
8444.0000,0,3.2113,121.09,9102.3,9226.6
8458.0000,0,3.2113,121.09,8986.9,9111.2
8472.0000,0,3.2113,121.09,8844.6,8968.9
8486.0000,0,3.2113,121.09,8667.2,8791.5
8500.0000,0,3.2113,121.09,8376.4,8500.7
8514.0000,0,3.2113,121.09,8171.1,8295.4
8528.0000,0,3.2113,121.09,8188,8312.3
8542.0000,0,3.2113,121.09,7535.4,7659.7
8556.0000,0,3.2113,121.09,7402.5,7526.8
8570.0000,0,3.2113,121.09,8071.6,8195.9
8584.0000,0,3.2113,121.09,8015.1,8139.4
8598.0000,0,3.2113,121.09,7878.6,8002.9
8612.0000,0,3.2113,121.09,7794.3,7918.6
8626.0000,0,3.2113,121.09,7762.9,7887.2
8640.0000,0,3.2113,121.09,7654.2,7778.5
8654.0000,0,3.2113,121.09,7325.8,7450.1
8668.0000,0,3.2113,121.09,6687.3,6811.6
8682.0000,0,3.2113,121.09,6951,7075.3
8696.0000,0,3.2113,121.09,7250.6,7374.9
8710.0000,0,3.2113,121.09,7253.9,7378.2
8724.0000,0,3.2113,121.09,7180.6,7304.9
8738.0000,0,3.2113,121.09,7023.1,7147.4
8752.0000,0,3.2113,121.09,6873.7,6998
8766.0000,0,3.2113,121.09,6925.8,7050.1
8780.0000,0,3.2113,121.09,6891.1,7015.4
8794.0000,0,3.2113,121.09,6784.6,6908.9
8808.0000,0,3.2113,121.09,6634,6758.3
8822.0000,0,3.2113,121.09,6580.4,6704.7
8836.0000,0,3.2113,121.09,6519.5,6643.8
8850.0000,0,3.2113,121.09,6403.9,6528.2
8864.0000,0,3.2113,121.09,6199,6323.3
8878.0000,0,3.2113,121.09,6172.1,6296.4
