R_p_ref T log_TiO
1.281805685940895057e+00 1.486663963043059539e+03 -9.611238034194602875e+00
1.255325241053954155e+00 1.660954424997705701e+03 -4.633324521179506661e+00
1.224689587674534508e+00 2.331070324180698663e+03 -4.304619330485623507e+00
1.253539490524011590e+00 1.401355437665004274e+03 -2.411221799533000976e+00
1.281216696292475588e+00 2.995854708942660181e+03 -1.110349239633012530e+01
1.243651328920540200e+00 2.150096045648726431e+03 -4.793513905801688679e+00
1.281279366237899175e+00 1.249488817031204007e+03 -1.011750474389866028e+01
1.262341927496183347e+00 1.778740024767721934e+03 -7.991049502071247979e+00
1.253565199663458030e+00 1.913754691487618402e+03 -7.062089561616889277e+00
1.248818922201066606e+00 1.389276790175124688e+03 -2.897765528626328191e+00
1.238418473545537246e+00 1.994503596403902520e+03 -3.296992137172328086e+00
1.279760071591763193e+00 1.146560335292877653e+03 -7.655321890793541861e+00
1.281224015852809206e+00 1.416923522949218750e+03 -1.128704619407653809e+01
1.278703265909458597e+00 1.625141146364473116e+03 -1.141849383357371828e+01
1.272474696037565245e+00 1.294755612410468984e+03 -6.290154563465002902e+00
1.276362629642429969e+00 1.503202322807095470e+03 -9.843348191989168328e+00
1.260694481803161127e+00 1.892563460946893429e+03 -6.359851125704087949e+00
1.282655088424764500e+00 1.463085150071990256e+03 -1.166693086921986655e+01
1.281852569935489683e+00 1.332754447454031151e+03 -9.386043003203198509e+00
1.212254823962410910e+00 2.744321228942018024e+03 -3.156955720384008401e+00
1.273016642530482523e+00 2.156510743397345777e+03 -1.067555151519191980e+01
